#30.01.2023
#Porównanie wyników dla modelu centralnego spinu:
#wyniki Jakuba Korsaka
#https://github.com/korsakjakub/cs_q_sim/blob/main/outputs/2023-01-30T10:51:21%2B01:00
#a wyniki z programu Jacka Dobrzynieckiego.
#
#Badany układ:
#H = B \sum_{k=1}^N S^k_z  +  B_0 S^0_z  +  \sum_{k=1}^N C_k [ S^0_+ S^k_-   +   H.c. ]
#Parametry hamiltonianu:
#Pole magnetyczne B = 1000
#Pole magnetyczne B_0 = 1002
#Parametry oddziaływań: (przyjmując numerację spinów środowiskowych od 0 do 7)
#C_0 = 22.46935609503098
#C_1 = -44.93871218982019
#C_2 = 22.46935609503098
#C_3 = 89.87742437988217
#C_4 = 22.46935609503098
#C_5 = -44.93871218982019
#C_6 = 22.46935609503098
#C_7 = 89.87742437988217
#Jednostki energii = h x Hz
#Stan początkowy: spin centralny - dół, spiny środowiskowe - uuuudddd
#
#Kolumny z danymi:
#time[JK][seconds/2π]	czas (wartości "x") z pliku z wynikami J. Korsaka [w sekundach/2π]
#central_spin[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka
#time[JK][seconds]	czas (wartości "x") z pliku z wynikami J. Korsaka [przeliczony na jednostki sekund]
#central_spin_modified[JK]	central spin (wartości "y") z pliku z wynikami J. Korsaka, zmodyfikowany przez dodanie wartości ~0.164
#time[JD][seconds]	czas wg wyników Jacka Dobrzynieckiego
#central_spin[JD]	central spin wg wyników Jacka Dobrzynieckiego
#
#
#time[JK][seconds/2π]	central_spin[JK]	time[JK][seconds]	central_spin_modified[JK]	time[JD][seconds]	central_spin[JD]
0.109	-0.33082177565884	0.0173478887970166	-0.166620520210465	0.017347895	-0.1825
0.11	-0.335330065833536	0.0175070437401085	-0.171128810385161	0.01750705	-0.18586
0.111	-0.338204033632735	0.0176661986832004	-0.17400277818436	0.017666205	-0.18715
0.112	-0.338691764826438	0.0178253536262923	-0.174490509378063	0.01782536	-0.18577
0.113	-0.336031883389464	0.0179845085693842	-0.171830627941089	0.017984515	-0.18112
0.114	-0.329558793698893	0.0181436635124761	-0.165357538250518	0.01814367	-0.17277
0.115	-0.318815961468882	0.018302818455568	-0.154614706020508	0.018302825	-0.16045
0.116	-0.30366113945593	0.0184619733986599	-0.139459884007555	0.01846198	-0.14421
0.117	-0.284346230605325	0.0186211283417518	-0.12014497515695	0.018621135	-0.12443
0.118	-0.261555872442973	0.0187802832848437	-0.0973546169945981	0.01878029	-0.10185
0.119	-0.236392924823322	0.0189394382279355	-0.0721916693749475	0.018939445	-0.07757
0.12	-0.210305519663769	0.0190985931710274	-0.0461042642153937	0.0190986	-0.05293
0.121	-0.184958434498029	0.0192577481141193	-0.0207571790496537	0.019257755	-0.02942
0.122	-0.162060187526847	0.0194169030572112	0.0021410679215281	0.01941691	-0.00856
0.123	-0.143165127662362	0.0195760580003031	0.0210361277860125	0.019576065	0.00834
0.124	-0.129475606809164	0.019735212943395	0.0347256486392114	0.01973522	0.02028
0.125	-0.121671969165932	0.0198943678864869	0.0425292862824426	0.019894375	0.02677
0.126	-0.1197968603521	0.0200535228295788	0.0444043950962749	0.02005353	0.0279
0.127	-0.123215071331838	0.0202126777726707	0.0409861841165365	0.020212685	0.02434
0.128	-0.13066122144067	0.0203718327157626	0.0335400340077051	0.02037184	0.01733
0.129	-0.140376075309233	0.0205309876588545	0.0238251801391419	0.020530995	0.00852
0.13	-0.150319682516554	0.0206901426019464	0.0138815729318209	0.02069015	-0.0002
